#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC1032;People are unlovable.;L'humanité n'a rien de touchant.;Man kann die Menschen einfach nicht lieben.;;La humanidad es difícil de amar.;;;;;;;;;x
EVTOPTA3208;Hopefully [From.GetSheHe] will find a way to peace.;Mon Dieu, ayez pitié de son âme !;Mein Gott, sei dieser Seele gnädig.;;Que Dios se apiade de su alma.;;;;;;;;;x
EVTDESC3305;Everyone else ran off to chase the alleged thieves who had stolen a very valuable object from our shrine. Instead of following them, I went to the shrine and discovered the artifact hidden behind one of the benches.;Tout le monde s'est mis à la recherche des voleurs censés avoir dérobé un objet très précieux dans notre église. Au lieu de leur emboîter le pas, j'ai choisi de me rendre à l'église où j'ai découvert le calice caché derrière un banc.;Alle anderen rannten hinter den angeblichen Dieben her, die einen wertvollen Gegenstand aus unserer Kirche gestohlen hatten. Ich jedoch ging, anstatt ihnen zu folgen, in die Kirche und entdeckte den Kelch, der hinter einer der Bänke versteckt war.;;Todos los demás corrieron tras los presuntos ladrones que se llevaron un valioso objeto de nuestra iglesia. En lugar de seguirles fui a la iglesia y descubrí el cáliz oculto tras un banco.;;;;;;;;;x
EVTOPTA3305;Such foolishness.;Le prêtre vieillit.;Der Priester wird alt;;El cura se hace mayor;;;;;;;;;x
EVTOPTA3306;The priest had just misplaced the artifact;Le prêtre avait juste égaré le calice.;Der Priester hatte den Kelch bloß verlegt;;Simplemente el cura había extraviado el cáliz;;;;;;;;;x
EVTDESC3307;I had not really expected anyone to truly care about the missing artifact, at the time it seemed more like an excuse to make as much noise and tumult as possible. I was proven wrong when [From.GetTitledFirstName] shook my hand and thanked me for finding it.;Je ne pensais pas que la disparition de ce calice susciterait autant d'émotions. Sur le moment, j'ai cru à un prétexte pour faire le plus de bruit possible. Mais j'avais tort. [From.GetTitledFirstName] m'a même serré la main en me remerciant d'avoir trouvé le calice.;Ich hatte vermutet, dass der Kelch an sich den meisten Leuten eigentlich egal sei. Vielmehr sah ich es als einen Vorwand für sinnlosen Lärm und Tumult an. Ich sah meinen Fehler aber ein, als [From.GetTitledFirstName] mir die Hand schüttelte und mir dafür dankte, den Kelch gefunden zu haben.;;No esperaba que nadie se preocupase del cáliz desaparecido, solo parecía una excusa para armar follón. Vi que estaba equivocado cuando [From.GetTitledFirstName] me dio la mano y me agradeció que hallase el cáliz.;;;;;;;;;x
EVTDESC3310;The sound of blade against blade makes me shiver and the fierce roars from the fighting warriors makes me want to run and hide.;Le bruit des lames qui s'entrechoquent me fait frissonner et les rugissements des combattants me donnent envie de fuir et de me cacher.;Der Klang aufeinanderprallender Klingen lässt mich zittern, und wenn ich das Gebrüll kämpfender Männer höre, will ich nur noch weglaufen und mich verstecken.;;El sonido de espada contra espada me da escalofríos y los fieros rugidos de los combatientes me hacen huir.;;;;;;;;;x
EVTDESC3325;I was one of the first to saddle my horse and chase after the bandits who had stolen one of the valuable artifacts from our shrine. When I returned, exhausted and with filthy clothes, I was told the idiotic priest had simply misplaced the artifact.;J'ai été parmi les premiers à seller mon cheval pour me lancer à la poursuite des bandits qui étaient censés avoir volé un précieux calice dans notre église. À mon retour, sale et à bout de forces, j'ai appris que le vieux prêtre avait simplement égaré le calice.;Ich war einer der ersten, die aufsattelten und die Banditen verfolgten, die einen der wertvollen Kelche aus der Kirche gestohlen hatten. Als ich erschöpft und verdreckt wiederkam, beschied man mir, dass der alte Priester den Kelch bloß verlegt hatte.;;Fui de los primeros en coger el caballo y perseguir a los ladrones de uno de los valiosos cálices de nuestra iglesia. Cuando volví, cansado y sucio, me dijeron que el viejo cura lo había extraviado.;;;;;;;;;x
EVTDESC3330;While searching for a lost artifact, I came upon a band of rogues who robbed me!;En cherchant le calice disparu, j'ai croisé la route d'une bande d'escrocs qui m'ont dévalisé(e) !;Auf der Suche nach einem verlorengegangenen Kelch stieß ich auf eine Räuberbande, die mich ausplünderte!;;¡Mientras buscaba el cáliz perdido una banda de ladrones me robó!;;;;;;;;;x
EVTDESC3345;I was especially invited to my friend's lecture and it was a catastrophe! The poor man stumbled, lost his words and it was all an incomprehensible mess.;Mon ami m'a invité(e) à assister à son sermon. Une catastrophe ! Le pauvre homme s'est embrouillé, s'est mis à bafouiller... Tout était incompréhensible.;Man lud mich zur Predigt meines Freundes ein, und es war eine Katastrophe! Der arme Mann stotterte, verlor andauernd den Faden, ach, es war einfach ein unverständliches Chaos.;;¡Fui invitado al sermón de mi amigo y fue un desastre! El pobre se atascó, se olvidó de su discurso y fue un completo lío.;;;;;;;;;x
EVTTOOLTIP3346;[This.GetTitledFirstName] wants an opinion on his lecture;[This.GetTitledFirstName] aimerait savoir ce que vous avez pensé de son sermon.;[This.GetTitledFirstName] will eine Meinung zu seiner Predigt ;;[This.GetTitledFirstName] quiere una opinión sobre su sermón;;;;;;;;;x
EVTDESC3346;[From.GetTitledFirstName] seemed to appreciate my first lecture, even if [From.GetSheHe] did not put it in so many words. [From.GetTitledFirstName] just nodded and smiled when I asked if [From.GetSheHe] liked it.;[From.GetTitledFirstName] a eu l'air d'apprécier mon premier sermon, bien qu'[From.GetSheHe] n'ait pas dit grand-chose. Lorsque je lui ai demandé(e) si ça lui avait plu, [From.GetSheHe] s'est contenté(e) d'un signe de tête et d'un sourire.;[From.GetTitledFirstName] schien meine erste Predigt gutzuheißen, auch wenn [From.GetSheHe] es nicht so wortreich ausdrückte. [From.GetTitledFirstName] nickte und lächelte bloß, als ich fragte, ob [From.GetSheHe] sie genossen hatte.;;[From.GetTitledFirstName] pareció apreciar mi primer sermón, aunque no lo comentó mucho. [From.GetTitledFirstName] asintió y sonrió cuando le pregunté si le había gustado.;;;;;;;;;x
EVTDESC3347;I did not dare tell [From.GetTitledFirstName] what I thought about [From.GetHerHis] lecture, so I just smiled and nodded nervously when [From.GetTitledFirstName] talked to me.;Je n'ai pas osé dire à [From.GetTitledFirstName] ce que j'ai pensé de son sermon. Quand [From.GetSheHe] m'a posé la question, je me suis contenté(e) d'un signe de tête et d'un sourire nerveux.;Ich wagte nicht, [From.GetTitledFirstName] meine Meinung über [From.GetHerHis] Predigt zu sagen, daher lächelte und nickte ich einfach nur nervös, als [From.GetTitledFirstName] mit mir sprach.;;No me atreví a decirle a [From.GetTitledFirstName] lo que me pareció su sermón, así que solo sonreí y asentí nerviosamente cuando [From.GetTitledFirstName] me habló.;;;;;;;;;x
EVTOPTA3370;The priest said 'yes'!;Il a dit 'oui' !;Er bejahte!;;¡Dijo que sí!;;;;;;;;;x
EVTDESC3385;I try to contribute to ridiculous conversions with my courtiers and priet about the valar and their so-called return to Middle-Earth, but I find that the subject bores me!;Je me contenterais volontiers d'un dimanche sur deux pour me rendre à l'église, mais lorsque je ne montre pas, le prêtre me sermonne et me rappelle que je dois donner l'exemple à mes sujets.;Ich wäre ja damit zufrieden, die Kirche alle paar Sonntage zu besuchen, aber wenn ich nicht erscheine, schilt mich der Priester und sagt, ich solle meinen Untertanen mit besserem Beispiel vorangehen.;;Me gustaría ir a la iglesia cada dos domingos, pero si no aparezco el cura me riñe y me dice que debería dar un mejor ejemplo a mis súbditos.;;;;;;;;;x
EVTOPTA3385;That priest should leave me be!;Il va tout gâcher !;Er wird noch alles ruinieren!;;¡Lo arruinará todo!;;;;;;;;;x
EVTDESC3405;I stood by the garden and was gazing at the floral arrangements when the priest approached me and asked me what I thought about them. A courtier by my side spoke before I managed to say some very unfair opinions about the multitude of colors used.;Je me tenais près des vitraux en essayant de voir à travers lorsque le prêtre s'est approché de moi pour me demander ce que j'en pensais. Le courtisan qui m'accompagnait a répondu avant que j'aie le temps d'émettre des critiques injustes sur la multitude de couleurs utilisées.;Ich versuchte, durch die bunten Kirchenfester hindurch zu sehen, als der Priester ankam und mich fragte, was ich von ihnen hielte. Ein Höfling an meiner Seite sprach, bevor ich einige sehr ungerechte Meinungen über die überwältigende Farbpalette loslassen konnte.;;Traté de mirar a través de la vidriera cuando el cura se acercó a mí y me preguntó mi opinión sobre ella. Un cortesano mío habló antes de que yo manifestase opiniones malintencionadas acerca de la multitud de colores usados.;;;;;;;;;x
EVTOPTA3405;It saved me, but only for a minute.;Cela m'a sauvé(e), mais rien qu'une minute.;Das rettete mich, allerdings nur für eine Minute.;;Eso me salvó, pero solo durante un minuto.;;;;;;;;;x
EVTTOOLTIP3406;[This.GetTitledFirstName] and the garden flowers;[This.GetTitledFirstName] et les vitraux;[This.GetTitledFirstName] und die bunten Kirchenfenster;;[This.GetTitledFirstName] y la vidriera;;;;;;;;;x
EVTDESC3408;When [From.GetTitledFirstName] had told the priest what [From.GetSheHe] thought about the arrangements in the garden, both looked inquiring at me until I managed to croak something appraising about the damned plants, using some of [From.GetTitledFirstName]'s opinions. The priest seemed satisfied and [From.GetTitledFirstName] beamed at me.;[From.GetTitledFirstName] a indiqué au prêtre ce qu'[From.GetSheHe] pensait des vitraux, puis ils se sont tous les deux tournés vers moi jusqu'à ce que je parvienne à formuler une opinion, en réutilisant une partie des arguments de [From.GetTitledFirstName]. Le prêtre a semblé satisfait et [From.GetTitledFirstName] m'a fait un grand sourire.;Als [From.GetTitledFirstName] dem Priester mitteilte, was [From.GetSheHe] von den bunten Kirchenfenstern hielt, sahen mich beide fragend an, bis ich es schaffte, irgendetwas Lobendes über die Fenster herauszukrächzen, wobei ich mich einiger von [From.GetTitledFirstName]s Ansichten bediente. Der Priester schien zufrieden und [From.GetTitledFirstName] strahlte mich an.;;Cuando [From.GetTitledFirstName] le hubo dicho al cura lo que pensaba de la vidriera, ambos me miraron de forma inquisitiva hasta que logré escupir algo elogioso sobre las ventanas usando algunas opiniones de [From.GetTitledFirstName]. El cura se quedó satisfecho y [From.GetTitledFirstName] me sonrió.;;;;;;;;;x
EVTDESC3425;A murmur was heard through the room when I judged the bandit to death. It was a just sentence, if perhaps a bit harsh.;Un murmure a traversé la salle lorsque j'ai condamné le criminel à mort. C'est une peine sévère, mais juste.;Ein Geraune ging durch den Raum, als ich den Verbrecher zum Tode verurteilte. Es war eine gerechte Strafe, wenn auch vielleicht etwas hart.;;Se oyó un murmullo en la sala cuando condené a muerte al criminal. Era una sentencia justa, pero quizás algo dura.;;;;;;;;;x
EVTDESC3452;After [From.GetTitledFirstName] told me not everybody lies I almost started laughing. I told [From.GetHerHim] that if [From.GetSheHe] could prove that, I would start believing in the valar again.;Quand [From.GetTitledFirstName] a déclaré que tout le monde ne ment pas, j'ai failli éclater de rire. Je lui ai répondu que si [From.GetSheHe] parvenait à le prouver, je recommencerais à croire en l'humanité.;Als [From.GetTitledFirstName] mir sagte, dass nicht jeder lügt, musste ich fast lachen. Ich sagte [From.GetHerHim], dass ich den Glauben an die Menschheit erst wiedererlangen würde, wenn [From.GetSheHe] das beweisen könne.;;Después de que [From.GetTitledFirstName] me dijera que no todos mienten casi me eché a reír. Le dije que si lo demostraba empezaría a creer en el ser humano de nuevo.;;;;;;;;;x
EVTDESC3455;I expressed my views on the whole Valar and 'Eru' thing a bit too loud and got into a lot of trouble with a priest because of it.;J'ai pris la liberté d'exprimer mon point de vue sur la religion et 'Dieu' en général, ce qui m'a valu des ennuis avec un prêtre.;Ich brachte meine Ansichten über das ganze Religions- und Gotteszeugs etwas zu laut vor, was mir einigen Ärger mit einem Priester einbrachte.;;Expresé mi opinión sobre la religión y 'Dios' en voz alta y tuve problemas con un cura.;;;;;;;;;x
EVTOPTA3455;Valinor has abandoned us!;Dieu est mort !;Gott ist tot!;;¡Dios ha muerto!;;;;;;;;;x
EVTDESC3461;I watched, partly horrified, partly filled with admiration, as the cynical madman was dragged out of the dining hall and into [From.GetTitledFirstName]'s prison.;Partagé(e) entre horreur et admiration, j'ai vu le blasphémateur se faire arrêter pour être jeté dans la prison de [From.GetTitledFirstName].;Mit einer Mischung aus Entsetzen und Bewunderung sah ich zu, wie der Gotteslästerer aus dem Speisesaal in [From.GetTitledFirstName]s Kerker gezerrt wurde.;;Vi, en parte horrorizado, en parte admirado, cómo el blasfemo fue sacado del comedor y llevado a la prisión de [From.GetTitledFirstName].;;;;;;;;;x
EVTTOOLTIP3462;The rabble-rouser belongs in prison, [This.GetTitledFirstName]!;La place du blasphémateur est en prison, [This.GetTitledFirstName] !;[This.GetTitledFirstName], der Gotteslästerer gehört in den Kerker!;;¡El blasfemo debe estar en prisión, [This.GetTitledFirstName]!;;;;;;;;;x
EVTDESC3462;I was still shaking with rage at the cynic's faithless words when [From.GetTitledFirstName] took the opportunity to whisper: 'Good work' in my ear.;Je tremblais encore de rage après les propos blasphématoires du païen quand [From.GetTitledFirstName] en a profité pour venir me murmurer des félicitations.;Ich bebte immer noch vor Wut über die Gottesklästerung des Heiden, als [From.GetTitledFirstName] die Gelegenheit wahrnahm, 'Gute Arbeit' in mein Ohr zu flüstern.;;Temblaba aún de ira por las blasfemias del pagano cuando [From.GetTitledFirstName] me susurró al oído: 'buen trabajo'.;;;;;;;;;x
EVTDESC3470;There's always something to do amongst the [Root.Religion.GetName] priests. The more time I spend there, the more I appreciate the calm and I feel more connected to my people.;Il y a toujours quelque chose à faire dans l'église [Root.Religion.GetName]. Plus j'y passe de temps, plus j'apprécie le calme qui y règne et plus je me sens proche de mon Dieu.;In der [Root.Religion.GetName] Kirche gibt es immer etwas zu tun. Je mehr Zeit ich dort verbringe, desto mehr schätze ich die Ruhe, und desto näher fühle ich mich meinem Gott.;;Siempre hay algo que hacer en la iglesia [Root.Religion.GetName]. Cuanto más tiempo paso allí, más valoro la calma y más conectado me siento a Dios.;;;;;;;;;x
